Country,ISO,Econ growth 2020,Econ growth 2021,Avg Econ Growth,Exports pct of GDP_2019,External debt pct GDP_2019,Corruption Index 100_2019,Int tourism pct GDP_2019
Kyrgyzstan,KGZ,-8.4,3.61,-2.395,35.23,104.5,30,7.98
Laos,LAO,0.5,2.53,1.515,,93.86,29,5.2
Latvia,LVA,-2.2,4.07,0.935,59.81,,56,
Lebanon,LBN,-21.4,-7,-14.2,20.56,147.05,28,16.78
Lesotho,LSO,-8.36,1.35,-3.505,44.59,57.03,40,
Liberia,LBR,-2.98,4.99,1.005,,42.71,28,
Libya,LBY,-23.93,31.37,3.72,42.84,,18,
Lithuania,LTU,-0.02,5.98,2.98,77.32,,60,
Luxembourg,LUX,-0.8,5.1,2.15,204.32,,80,8.08
Macao,MAC,-54.24,19.27,-17.485,82.52,,,74.57
Madagascar,MDG,-7.14,4.4,-1.37,28.42,29.44,24,6.74
Malawi,MWI,0.8,2.75,1.775,,22.4,31,0.56
Malaysia,MYS,-5.53,3.09,-1.22,65.28,,53,6.08
Maldives,MDV,-33.49,41.75,4.13,69.43,53.07,29,56.53
Mali,MLI,-1.24,3.05,0.905,25.71,30.2,29,
Malta,MLT,-8.32,10.3,0.99,146.09,,54,
Mauritania,MRT,-0.94,2.45,0.755,41.58,68.9,28,0.17
Mauritius,MUS,-14.6,3.7,-5.45,44.07,78.62,,14.02
Mexico,MEX,-7.99,4.72,-1.635,38.82,49.5,29,2.04
Micronesia,FSM,-1.77,-3.19,-2.48,31.48,,,
Moldova,MDA,-7.38,13.94,3.28,30.56,59.73,32,4.4
Mongolia,MNG,-4.56,1.64,-1.46,59.22,250.46,35,4.26
Montenegro,MNE,-15.31,12.43,-1.44,43.85,153.17,45,23.02
Morocco,MAR,-7.19,7.93,0.37,34.09,46.79,41,7.72
Mozambique,MOZ,-1.23,2.36,0.565,32.27,361.66,26,2.11
Namibia,NAM,-8.04,2.66,-2.69,36.4,,52,3.6
Nepal,NPL,-2.37,4.25,0.94,7.78,18.86,34,2.34
Netherlands,NLD,-3.89,4.86,0.485,82.54,,82,2.61
New Zealand,NZL,-1.25,3.71,1.23,27.32,,87,
Nicaragua,NIC,-1.79,10.34,4.275,45.09,108.75,22,
Niger,NER,3.55,1.39,2.47,11.42,26.7,32,1.01
Nigeria,NGA,-1.79,3.65,0.93,14.22,13.85,26,0.33
North Korea,PRK,-6.11,3.96,-1.075,,,17,
North Macedonia,MKD,-0.72,3.88,1.58,62.41,74.85,35,3.18
Norway,NOR,-3.38,3.09,-0.145,36.26,,84,1.74
Oman,OMN,-1.27,6.49,2.61,49.49,,52,3.49
Pakistan,PAK,-9.11,-13.33,-11.22,9.39,34.22,32,0.31
