,,,,,,,
,Gross Domestic Product,,,,,,
,"Gross Domestic Product, Real, Domestic Currency",,,,,,
,,,,,,,
,Source: International Financial Statistics (IFS),,,,,,
,,,,,,,
,Country,2017,2018,2019,2020,2021,
,Ghana,"146,146.00","155,207.00","165,308.00","166,157.00","175,057.00",
,Greece,"184,003.53","187,073.50","190,598.60","173,437.02","188,065.44",
,Grenada,"2,369.63","2,472.98","2,489.71","2,147.21","2,247.90",
,Guatemala,"479,120.81","495,443.85","515,273.08","506,183.23","546,580.55",
,Guinea,"85,027,726.11","95,462,304.81","70,747,142.00","37,653,621.00",...,
,Guinea-Bissau,"751,815.96",...,...,...,...,
,Guyana,"948,904.00","991,044.00","1,044,093.00","1,498,061.00","1,798,572.00",
,Haiti,"647,486.81","658,285.66","647,196.22","625,558.03","614,309.00",
,Honduras,"207,061.40","215,022.90","220,727.60","200,939.90","226,125.90",
,Hungary,"32,423,416.78","34,162,068.12","35,821,590.45","34,192,688.23","36,626,289.66",
,Iceland,"2,127,873.09","2,231,908.49","2,272,198.03","2,107,648.35","2,198,981.23",
,India,"128,562,500.00","137,917,600.00","144,251,700.00","135,580,100.00","147,692,600.00",
,Indonesia,"9,912,928,100.00","10,425,851,900.00","10,949,155,400.00","10,722,999,300.00","11,120,077,900.00",
,"Iran, Islamic Rep. of","14,752,981,173.99","14,751,795,225.72","14,296,119,922.74","14,376,479,257.64","15,072,946,811.08",
,Iraq,"201,149,499.44","210,609,940.25","222,848,458.14","187,858,124.11","202,279,313.36",
,Ireland,"256,446.90","278,315.51","293,458.48","311,607.53","353,949.53",
,Israel,"1,286,491.60","1,340,235.50","1,395,498.30","1,370,722.90","1,487,763.30",
,Italy,"1,603,730.52","1,618,578.04","1,626,398.98","1,480,362.56","1,583,792.04",
,Jamaica,"877,168.00","892,043.00","900,260.00","809,732.00","841,434.00",
,Japan,"551,220,000.00","554,766,600.00","552,535,500.00","528,894,500.00","540,237,000.00",
,Jordan,"28,915.00","29,474.10","30,050.46","29,584.27","30,237.61",
,"Kazakhstan, Rep. of","13,550,200.00","14,105,700.00","14,740,500.00","14,357,200.00","14,945,900.00",
,Kenya,"7,885,521.40","8,330,891.43","8,756,945.57","8,735,039.57","9,391,683.51",
,Kiribati,175.51,184.77,180.81,178.31,192.37,
,"Korea, Rep. of","1,760,811,500.00","1,812,005,400.00","1,852,666,400.00","1,839,523,400.00","1,915,777,400.00",
,"Kosovo, Rep. of","5,562.62","5,752.11","6,025.73","5,703.94","6,316.86",
,Kuwait,"38,779.50","39,723.49","39,504.23","36,006.00","36,477.00",
,Kyrgyz Rep.,"172,452.87","178,418.39","186,626.75","170,545.96","176,927.52",
,Lao People's Dem. Rep.,"116,421,600.00","123,695,600.00","130,447,000.00","134,720,400.00","139,408,000.00",
,Latvia,"22,681.53","23,586.95","24,193.06","23,660.09","24,621.64",
,Lebanon,"65,647,924.14","64,530,481.71","59,911,875.70",...,...,
,"Lesotho, Kingdom of","21,802.00","21,479.00","21,315.00","20,117.00","20,430.00",
,Liberia,"363,381.86","470,223.22","593,230.65","591,340.81",...,
,Libya,"20,524.73","24,194.43","27,385.07","11,031.07",...,
,Lithuania,"36,099.01","37,540.56","39,276.85","39,268.30","41,616.95",
,Luxembourg,"50,158.90","50,770.50","51,948.34","51,534.08","54,163.59",
,"Madagascar, Rep. of","20,307,790.00","20,956,490.00","21,880,934.41","20,319,145.17","21,192,868.41",
