,country,ISO,year,population,GDP,inflation,unemployment,GDP_change,ConfirmedCases,ConfirmedDeaths,CasesPer1k,DeathsPer1k,PopulationVaccinated,StringencyIndex,GovernmentResponseIndex,ContainmentHealthIndex,EconomicSupportIndex,GDP per Capita
0,Afghanistan,AFG,2018,36686784.0,18418848299.5825,0.626149149168811,,-485641963.33049774,,,,,,,,,,502.0567706229715
1,Afghanistan,AFG,2019,37769499.0,18904490262.913,2.30237251516844,,-1238951888.0580025,,,,,,,,,,500.5226641452935
2,Afghanistan,AFG,2020,38972230.0,20143442150.971,,11.710000038147,5356580512.5175,52330.0,2189.0,1.320849784219134,0.0552520576658835,0.0,50.40087272727273,41.27552727272728,46.7698909090909,2.8181818181818183,516.8665521826953
3,Afghanistan,AFG,2021,40099462.0,14786861638.4535,,5.57999992370605,,158084.0,7356.0,3.895566564129709,0.1812693735339322,9.13,29.24221917808219,24.306739726027395,27.7813698630137,0.0,368.75461417545955
4,Albania,ALB,2018,2866376.0,15156432309.8977,2.02805963071136,12.3000001907349,-245398444.17959976,,,,,,,,,,5287.663694469148
5,Albania,ALB,2019,2854191.0,15401830754.0773,1.41109078954248,11.4700002670288,269964483.4836998,,,,,,,,,,5396.215864347305
6,Albania,ALB,2020,2837849.0,15131866270.5936,1.62088661717004,,-3123921208.5910015,58316.0,1181.0,20.37904406921103,0.4127109377484434,0.0,66.48461818181818,63.66996363636364,64.49967272727272,57.86363636363637,5332.160474568449
7,Albania,ALB,2021,2811666.0,18255787479.1846,2.04147163139546,,,210224.0,3217.0,73.8184168916022,1.1296229124185837,36.28,48.59090410958904,55.05098630136987,55.21632876712329,53.9041095890411,6492.872012246334
8,Algeria,DZA,2018,41927007.0,174910878623.049,4.26999020467078,,3143474874.859009,,,,,,,,,,4171.795010863738
9,Algeria,DZA,2019,42705368.0,171767403748.19,1.95176821052894,,26758222257.570007,,,,,,,,,,4022.150183747158
10,Algeria,DZA,2020,43451666.0,145009181490.62,2.41513094083414,,-18035262493.139008,99610.0,2756.0,2.273560111881708,0.0629046447981727,0.0,75.92734545454546,61.96469090909091,64.14301818181819,46.72727272727273,3337.252511575045
11,Algeria,DZA,2021,44177969.0,163044443983.759,7.22606307415476,,,218432.0,6276.0,4.903780548277292,0.1408956870833407,12.49,59.61158904109589,59.7213698630137,62.10016438356165,43.08219178082192,3690.6278779759887
12,American Samoa,ASM,2018,48424.0,639000000.0,,,-8000000.0,,,,,,,,,,13195.93589955394
13,American Samoa,ASM,2019,47321.0,647000000.0,,,-69000000.0,,,,,,,,,,13672.576657298028
14,American Samoa,ASM,2020,46189.0,716000000.0,,,7000000.0,,,,,,,,,,15501.52633743965
15,American Samoa,ASM,2021,45035.0,709000000.0,,,,,,,,,,,,,15743.310758299102
16,Andorra,AND,2018,75013.0,3218316013.22626,,,63250525.70807028,,,,,,,,,,42903.443579463026
17,Andorra,AND,2019,76343.0,3155065487.51819,,,264043214.5313201,,,,,,,,,,41327.502030548836
18,Andorra,AND,2020,77700.0,2891022272.98687,,,-439259250.5522804,8049.0,84.0,102.692013268691,1.0717019647869357,0.0,48.25745454545455,57.50261818181818,52.2908,94.0,37207.493860834875
19,Andorra,AND,2021,79034.0,3330281523.53915,,,,23740.0,140.0,297.9118562393334,1.7568517217146873,64.37,50.08753424657535,62.595150684931504,60.83493150684932,74.93150684931507,42137.32727103715
20,Angola,AGO,2018,31273533.0,77792944471.9494,19.6305943641961,,8483834326.180695,,,,,,,,,,2487.500995552674
21,Angola,AGO,2019,32353588.0,69309110145.7687,17.0797044074954,,15690036640.631004,,,,,,,,,,2142.238757128536
22,Angola,AGO,2020,33428486.0,53619073505.1377,22.2715643068877,,-13785213755.182198,17553.0,405.0,0.5169036139522454,0.0119265062183478,0.0,74.39203636363636,54.910872727272725,58.82025454545455,27.545454545454547,1603.9934774532626
23,Angola,AGO,2021,34503774.0,67404287260.3199,25.7542656453085,,,81593.0,1770.0,2.327931422386556,0.0504999033939701,11.04,57.62213698630136,48.58745205479452,55.527068493150686,0.0,1953.5337572150775
24,Antigua and Barbuda,ATG,2018,91626.0,1605944444.44444,1.20715793367003,,-81588888.88889003,,,,,,,,,,17527.169629193024
25,Antigua and Barbuda,ATG,2019,92117.0,1687533333.33333,1.43135598182989,,317251851.85185003,,,,,,,,,,18319.45605407612
26,Antigua and Barbuda,ATG,2020,92664.0,1370281481.48148,0.625989707046698,,-100844444.44445014,,,,,,,,,,14787.635775290079
27,Antigua and Barbuda,ATG,2021,93219.0,1471125925.92593,2.06299638545331,,,,,,,,,,,,15781.39570179824
28,Argentina,ARG,2018,44494502.0,524819742918.669,,9.22000026702881,77065133699.99103,,,,,,,,,,11795.15938662869
29,Argentina,ARG,2019,44938712.0,447754609218.678,,9.84000015258789,62214384590.38599,,,,,,,,,,9963.672506205296
30,Argentina,ARG,2020,45376763.0,385540224628.292,,11.460000038147,-101687114474.37799,1625514.0,43245.0,35.991665239079694,0.95751839926571,0.0,87.61752727272727,76.75356363636364,77.00541818181819,75.0,8496.424141763748
31,Argentina,ARG,2021,45808747.0,487227339102.67,,8.73999977111816,,5654408.0,117169.0,124.57404380182332,2.5813871475521104,67.62,66.84131506849316,64.28027397260274,67.11276712328767,44.45205479452055,10636.120195618318
32,Armenia,ARM,2018,2836557.0,12457941907.0333,2.52023382001631,13.210000038147,-1161349454.2481003,,,,,,,,,,4391.923697296864
33,Armenia,ARM,2019,2820602.0,13619291361.2814,1.44344660770702,12.1999998092651,977593837.9848003,,,,,,,,,,4828.505177717878
34,Armenia,ARM,2020,2805608.0,12641697523.2966,1.21143577838465,12.1800003051758,-1219712445.5383987,,,,,,,,,,4505.867363971232
35,Armenia,ARM,2021,2790974.0,13861409968.835,7.18483629443373,,,,,,,,,,,,4966.513471223666
36,Aruba,ABW,2018,105962.0,3202234636.87151,3.62604141352956,,-166735616.18134975,,,,,,,,,,30220.594523239557
37,Aruba,ABW,2019,106442.0,3368970253.05286,4.25746204335428,,758931315.4893098,,,,,,,,,,31650.76053675109
