,country,ISO,year,population,GDP,inflation,unemployment,GDP_change,ConfirmedCases,ConfirmedDeaths,CasesPer1k,DeathsPer1k,PopulationVaccinated,StringencyIndex,GovernmentResponseIndex,ContainmentHealthIndex,EconomicSupportIndex
152,Chad,TCD,2018,15604210.0,11239167048.4916,4.27462198610544,1.12999999523163,-75784294.28910065,,,,,,,,,
156,Chile,CHL,2018,18701450.0,295402652037.155,2.43488981353058,7.21000003814697,16817918934.14502,,,,,,,,,
157,Chile,CHL,2019,19039485.0,278584733103.01,2.55754475703323,7.26999998092651,25857539392.992004,,,,,,,,,
158,Chile,CHL,2020,19300315.0,252727193710.018,3.04549084804331,10.9399995803833,-64331314941.742004,608973.0,16608.0,31.40016771217361,0.8563499290835216,0.0,82.90167272727273,76.12523636363636,76.25225454545455,75.22727272727273
159,Chile,CHL,2021,19493184.0,317058508651.76,4.52456838259136,9.27999973297119,,1806494.0,39115.0,92.2036819530484,1.9964345409359168,84.41,64.63060273972603,68.66254794520547,70.25019178082192,57.53424657534247
160,China,CHN,2018,1402760000.0,13894817549374.2,2.07479039965578,4.92999982833862,-385119951232.3008,,,,,,,,,
161,China,CHN,2019,1407745000.0,14279937500606.5,2.89923416358227,5.15000009536743,-407736392275.5,,,,,,,,,
162,China,CHN,2020,1411100000.0,14687673892882.0,2.4194218945778,5.6100001335144,-3046388752489.3984,93679.0,4733.0,0.0656999274999031,0.0033193966295225,0.0,71.3472,65.36909090909091,69.24803636363636,38.22727272727273
163,China,CHN,2021,1412360000.0,17734062645371.4,0.981015135544851,5.1100001335144,,115168.0,4890.0,0.0807671994136164,0.0034293519478725,84.68,71.18353424657533,72.90805479452054,74.39660273972602,62.5
164,Colombia,COL,2018,49276961.0,334198218100.719,3.24056932930567,9.35999965667725,11088677848.864014,,,,,,,,,
165,Colombia,COL,2019,50187406.0,323109540251.855,3.52301932741443,10.2799997329712,52809555313.88498,,,,,,,,,
166,Colombia,COL,2020,50930662.0,270299984937.97,2.52663500084712,15.5699996948242,-44164152303.360016,1642775.0,43213.0,32.057713661288005,0.8432743257264316,0.0,77.89796363636363,70.72970909090908,70.19476363636365,74.45454545454545
167,Colombia,COL,2021,51516562.0,314464137241.33,3.49505757399453,13.8999996185303,,5157440.0,129942.0,99.58595895597328,2.509074013203659,54.6,61.00991780821918,64.87394520547946,63.79843835616438,72.3972602739726
178,"Congo, (Kinshasa)",COD,2020,92853164.0,48716960860.0664,,1.47000002861023,-6634007732.993301,,,,,,,,,
180,Costa Rica,CRI,2018,5040734.0,62420165099.7231,2.22111461526584,9.01000022888184,-1997504982.8896027,,,,,,,,,
181,Costa Rica,CRI,2019,5084532.0,64417670082.6127,2.09604635327805,10.8100004196167,2259667849.5848007,,,,,,,,,
182,Costa Rica,CRI,2020,5123105.0,62158002233.0279,0.724911478131358,16.4300003051758,-2124436433.7110977,169321.0,2185.0,32.93637570900226,0.4250269070237593,0.0,66.28265454545455,54.36603636363636,55.09494545454546,49.27272727272727
183,Costa Rica,CRI,2021,5153957.0,64282438666.739,1.72647755109235,15.1400003433228,,570556.0,7353.0,110.42172313362542,1.423052128452856,67.66,56.327260273972605,57.38956164383561,60.47038356164384,35.821917808219176
184,Croatia,HRV,2018,4087843.0,62316840749.9705,1.50012501041753,8.43000030517578,-11142829.619400024,,,,,,,,,
185,Croatia,HRV,2019,4065253.0,62327983579.5899,0.771820346498083,6.61999988555908,4855971152.904594,,,,,,,,,
186,Croatia,HRV,2020,4047680.0,57472012426.6853,0.154811374562028,7.51000022888184,-11483070853.506897,210837.0,3920.0,51.68713686842686,0.960996298203035,0.0,50.39090909090909,57.34203636363636,55.50265454545455,70.22727272727273
187,Croatia,HRV,2021,3899000.0,68955083280.1922,2.55450699642046,7.6100001335144,,715245.0,12538.0,176.98954090287197,3.102566063153477,48.47,40.75468493150685,50.04868493150685,50.63920547945206,45.92465753424658
188,Cuba,CUB,2018,11328244.0,100050000000.0,,1.70000004768372,-3378000000.0,,,,,,,,,
192,Cyprus,CYP,2018,1218831.0,25596474964.5725,1.43549119531762,8.5,-348029681.1232033,,,,,,,,,
193,Cyprus,CYP,2019,1228836.0,25944504645.6957,0.250370996758456,7.15000009536743,936055759.3450012,,,,,,,,,
194,Cyprus,CYP,2020,1237537.0,25008448886.3507,-0.638422797978907,7.76000022888184,-3399418647.6528015,22346.0,120.0,18.002152588907077,0.0966731545094804,0.0,65.63763636363636,68.3352,63.81072727272728,100.0
195,Cyprus,CYP,2021,1244188.0,28407867534.0035,2.44608867175472,7.51000022888184,,166827.0,638.0,133.77409628893096,0.5115950861211791,67.84,59.49586301369863,72.09443835616439,68.10895890410958,100.0
196,Czech Republic,CZE,2018,10629928.0,249000540729.179,2.14949494949492,2.25,-3547639235.7180176,,,,,,,,,
197,Czech Republic,CZE,2019,10671870.0,252548179964.897,2.84787595918047,2.01999998092651,6573621310.854004,,,,,,,,,
198,Czech Republic,CZE,2020,10697858.0,245974558654.043,3.16129528497808,2.54999995231628,-35803328467.40799,718661.0,11580.0,68.28784427512136,1.100342493478713,0.0,51.02850909090909,56.58229090909092,54.39261818181818,71.9090909090909
199,Czech Republic,CZE,2021,10505772.0,281777887121.451,3.8398449150015,2.79999995231628,,2475729.0,36129.0,235.83975430352265,3.441674950381067,63.45,55.17052054794521,65.01356164383562,64.40446575342466,69.28082191780823
201,Côte d'Ivoire,CIV,2019,26147551.0,58539424929.7248,-1.10686343994202,2.40000009536743,-2809154535.3768997,,,,,,,,,
204,Denmark,DNK,2018,5793636.0,356841216410.068,0.813609467455633,5.13000011444092,10342478448.432983,,,,,,,,,
205,Denmark,DNK,2019,5814422.0,346498737961.635,0.758131572511619,5.01999998092651,-8723711543.575989,,,,,,,,,
206,Denmark,DNK,2020,5831404.0,355222449505.211,0.420711974110026,5.6399998664856,-43080823259.24902,163479.0,1298.0,27.9905638280532,0.2222410942617281,0.0,55.65389090909091,56.28792727272727,51.97047272727272,86.5
207,Denmark,DNK,2021,5856733.0,398303272764.46,1.85304543989687,5.05999994277954,,802397.0,3267.0,136.74167434534934,0.5567506484773203,77.19,46.16438356164384,53.26545205479452,56.17816438356164,32.87671232876713
216,Dominican Republic,DOM,2018,10765531.0,85555378042.8196,3.56443426013507,5.8600001335144,-3385921690.682205,,,,,,,,,
217,Dominican Republic,DOM,2019,10881882.0,88941299733.5018,1.8106037704296,6.17999982833862,10096597404.423294,,,,,,,,,
218,Dominican Republic,DOM,2020,10999664.0,78844702329.0785,3.78103179915516,6.13000011444092,-15398751608.367691,170785.0,2414.0,15.441709659511138,0.2182644091580635,0.0,78.94785454545455,64.69029090909092,70.36196363636364,25.0
219,Dominican Republic,DOM,2021,11117873.0,94243453937.4462,8.24300347981817,7.69999980926514,,418778.0,4247.0,37.47196948540535,0.3800186600168024,50.76,60.44868493150685,59.022684931506845,65.8152602739726,11.472602739726028
220,Ecuador,ECU,2018,17015672.0,107562008000.0,-0.224103246005465,3.52999997138977,-546001000.0,,,,,,,,,
221,Ecuador,ECU,2019,17343740.0,108108009000.0,0.266012515466136,3.80999994277954,8816885000.0,,,,,,,,,
222,Ecuador,ECU,2020,17588595.0,99291124000.0,-0.338872392562274,6.1100001335144,-6874742000.0,212512.0,14034.0,12.01309573958843,0.7933283090337676,0.0,71.54287272727274,65.70698181818183,64.37825454545455,75.0
223,Ecuador,ECU,2021,17797737.0,106165866000.0,0.133251386096455,4.5,,549418.0,33681.0,30.684407414369907,1.881047810816888,70.5,63.15,67.23197260273973,66.12232876712329,75.0
224,Egypt,EGY,2018,103740765.0,249712999437.254,14.4014657807421,9.85999965667725,-53367866166.39102,,,,,,,,,
225,Egypt,EGY,2019,105618671.0,303080865603.645,9.15279959324812,7.84999990463257,-62171785675.20697,,,,,,,,,
226,Egypt,EGY,2020,107465134.0,365252651278.852,5.04493288977533,7.94000005722046,-38890114814.20099,138062.0,7631.0,1.27373398824663,0.0704021676081038,0.0,75.87665454545456,67.15934545454546,66.3693090909091,72.68181818181819
228,El Salvador,SLV,2018,6276342.0,26020850000.0,1.09033000581896,4.01000022888184,-860290000.0,,,,,,,,,
229,El Salvador,SLV,2019,6280217.0,26881140000.0,0.0753241350024327,4.17000007629395,2318120000.0,,,,,,,,,
230,El Salvador,SLV,2020,6292731.0,24563020000.0,-0.371590212323993,5.01000022888184,-4173920000.0,46242.0,1327.0,7.33471434870744,0.2104832390626437,0.0,76.03992727272727,66.34334545454546,65.55101818181818,71.9090909090909
231,El Salvador,SLV,2021,6314167.0,28736940000.0,3.46692585313078,4.32999992370605,,121945.0,3824.0,19.283515673737053,0.6047001839876214,65.6,33.87361643835616,41.6032602739726,42.027726027397264,38.63013698630137
240,Estonia,EST,2018,1321977.0,30624720196.229,3.43632688420445,5.36999988555908,-457181712.98659897,,,,,,,,,
241,Estonia,EST,2019,1326898.0,31081901909.2156,2.27725931243518,4.44999980926514,-288493663.5502014,,,,,,,,,
242,Estonia,EST,2020,1329522.0,31370395572.7658,-0.444531097679859,6.80000019073486,-5820770579.214203,27990.0,229.0,21.048246280273304,0.1722060878236008,0.01,44.564690909090906,43.36792727272727,41.37229090909091,57.31818181818182
243,Estonia,EST,2021,1330932.0,37191166151.98,4.65316673847481,6.17999982833862,,241408.0,1932.0,181.83790298282617,1.4552576077131667,61.47,38.15901369863014,44.43002739726028,46.20863013698631,31.98630136986301
247,Ethiopia,ETH,2021,120283026.0,111271112329.975,26.8395221557722,3.9300000667572,,420342.0,6937.0,3.4504437970002115,0.0569434617996547,0.0,43.71717808219178,45.02364383561643,51.45767123287671,0.0
256,Finland,FIN,2018,5515525.0,275708001767.843,1.08382098409299,7.3600001335144,7193084795.294006,,,,,,,,,
257,Finland,FIN,2019,5521606.0,268514916972.549,1.02409392963429,6.69000005722046,-3376871390.097992,,,,,,,,,
258,Finland,FIN,2020,5529543.0,271891788362.647,0.290554555653313,7.76000022888184,-25410095160.603973,36422.0,592.0,6.58182803216859,0.1069804567306519,0.0,44.77352727272727,45.99458181818182,42.695854545454544,69.0909090909091
259,Finland,FIN,2021,5541017.0,297301883523.251,2.19457432339993,7.6100001335144,,270829.0,1714.0,48.90143353611051,0.3094833163394371,73.73,42.45320547945205,52.98402739726028,49.83967123287671,75.0
260,France,FRA,2018,67158348.0,2790956878746.66,1.85081508315494,9.02000045776367,62086632040.78027,,,,,,,,,
261,France,FRA,2019,67388001.0,2728870246705.88,1.10825492288292,8.40999984741211,89861545057.62012,,,,,,,,,
262,France,FRA,2020,67571107.0,2639008701648.26,0.476498852725083,8.01000022888184,-318871057615.26025,2616902.0,64267.0,40.57064839161044,0.9963513575149656,0.0,63.85316363636363,61.916363636363634,60.41218181818181,72.45454545454545
263,France,FRA,2021,67749632.0,2957879759263.52,1.64233141038392,7.8600001335144,,9761814.0,121201.0,151.20402799592358,1.8773231488669968,73.21,52.6787397260274,58.94717808219178,61.418328767123285,41.64383561643836
272,Gambia,GMB,2018,2444916.0,1670670668.5939,6.52096823946571,4.13000011444092,-142937611.05654,,,,,,,,,
276,Georgia,GEO,2018,3726549.0,17596922469.9152,2.61524471397664,12.6700000762939,126486211.40209961,,,,,,,,,
277,Georgia,GEO,2019,3720161.0,17470436258.5131,4.85289821696731,11.5699996948242,1627513725.7929,,,,,,,,,
278,Georgia,GEO,2020,3722716.0,15842922532.7202,5.2024648897533,11.7299995422363,-2786443064.281502,227420.0,2505.0,60.441588767038894,0.6657557816437976,0.0,70.32345454545455,59.82512727272727,63.46207272727273,34.36363636363637
280,Germany,DEU,2018,82905782.0,3974443355019.6,1.73216766075662,3.38000011444092,86217319098.04004,,,,,,,,,
281,Germany,DEU,2019,83092962.0,3888226035921.56,1.4456670146976,3.14000010490417,-1442859378.0600586,,,,,,,,,
282,Germany,DEU,2020,83160871.0,3889668895299.62,0.506689889953274,3.85999989509583,-370266016522.02,1719737.0,33071.0,20.622741344558936,0.3965808021842343,0.0,62.22730909090909,58.715163636363634,60.61687272727273,45.40909090909091
