,Country,CountryCode,Year,Population,ConfirmedCases,ConfirmedDeaths,CasesPer1k,DeathsPer1k,PopulationVaccinated,StringencyIndex,GovernmentResponseIndex,ContainmentHealthIndex,EconomicSupportIndex
0,Afghanistan,AFG,2020,39618.434,52330.0,2189.0,1.320849784219134,0.05525205766588351,0.0,50.40087272727273,41.275527272727274,46.769890909090904,2.8181818181818183
1,Afghanistan,AFG,2021,40580.49,158084.0,7356.0,3.895566564129709,0.18126937353393222,9.13,29.24221917808219,24.306739726027395,27.7813698630137,0.0
2,Afghanistan,AFG,2022,41677.052,207559.0,7849.0,4.980174701416021,0.18832905935861297,26.15,11.415643835616438,14.827369863013699,16.943863013698632,0.0
3,Albania,ALB,2020,2861.567,58316.0,1181.0,20.37904406921103,0.4127109377484434,0.0,66.48461818181818,63.66996363636364,64.49967272727272,57.86363636363637
4,Albania,ALB,2021,2847.853,210224.0,3217.0,73.8184168916022,1.1296229124185835,36.28,48.59090410958904,55.05098630136987,55.21632876712329,53.9041095890411
5,Albania,ALB,2022,2836.789,333806.0,3595.0,117.67036603709334,1.2672778976511823,44.68,21.522547945205478,27.499917808219177,30.27490410958904,8.082191780821917
6,Algeria,DZA,2020,43812.345,99610.0,2756.0,2.273560111881708,0.06290464479817275,0.0,75.92734545454546,61.96469090909091,64.14301818181819,46.72727272727273
7,Algeria,DZA,2021,44543.592,218432.0,6276.0,4.903780548277292,0.14089568708334074,12.49,59.61158904109589,59.7213698630137,62.10016438356165,43.082191780821915
8,Algeria,DZA,2022,45262.858,271228.0,6881.0,5.9922862140079625,0.15202310026468058,14.43,35.87205479452055,37.82389041095891,42.52120547945206,4.931506849315069
9,Andorra,AND,2020,78.38,8049.0,84.0,102.692013268691,1.0717019647869355,0.0,48.25745454545455,57.50261818181818,52.2908,94.0
10,Andorra,AND,2021,79.688,23740.0,140.0,297.9118562393334,1.7568517217146873,64.37,50.087534246575345,62.595150684931504,60.834931506849315,74.93150684931507
11,Andorra,AND,2022,79.96,47751.0,165.0,597.1860930465233,2.0635317658829417,66.99,11.986109589041096,32.15041095890411,33.74797260273973,20.958904109589042
12,Angola,AGO,2020,33957.975,17553.0,405.0,0.5169036139522454,0.011926506218347826,0.0,74.39203636363636,54.910872727272725,58.820254545454546,27.545454545454547
13,Angola,AGO,2021,35049.572,81593.0,1770.0,2.327931422386556,0.05049990339397012,11.04,57.62213698630136,48.58745205479452,55.527068493150686,0.0
14,Angola,AGO,2022,36128.402,105095.0,1930.0,2.908930209534316,0.05342057475999076,23.19,37.65684931506849,41.23517808219178,44.512986301369864,18.28767123287671
15,Argentina,ARG,2020,45163.623,1625514.0,43245.0,35.991665239079694,0.9575183992657099,0.0,87.61752727272727,76.75356363636364,77.00541818181819,75.0
16,Argentina,ARG,2021,45389.937,5654408.0,117169.0,124.57404380182331,2.5813871475521104,67.62,66.84131506849316,64.28027397260274,67.11276712328767,44.45205479452055
17,Argentina,ARG,2022,45630.699,9891139.0,130124.0,216.7650116427101,2.8516766749507827,76.45,19.031068493150684,33.75945205479452,34.32578082191781,29.794520547945204
18,Aruba,ABW,2020,106.501,5489.0,49.0,51.53942216505009,0.46008957662369365,0.0,57.40378181818181,54.337745454545455,52.001709090909095,70.68181818181819
19,Aruba,ABW,2021,106.572,20461.0,181.0,191.99226813797245,1.6983823143039447,74.21,42.77775342465753,42.05035616438356,46.555945205479446,10.513698630136986
20,Aruba,ABW,2022,106.318,44145.0,280.0,415.21661430801936,2.6336086081378505,78.89,26.78898630136986,31.98172602739726,35.21386301369863,9.315068493150685
21,Australia,AUS,2020,25795.922,28425.0,909.0,1.1019183574830163,0.035238127949061095,0.0,64.10329696969697,60.12904242424243,59.34202828282828,65.63636363636364
22,Australia,AUS,2021,26046.256,425496.0,2253.0,16.336167470672176,0.08649995607814036,95.0,56.72220395738204,60.67946118721461,62.125866057838664,50.55555555555556
23,Australia,AUS,2022,26308.571,11131707.0,17052.0,423.1209289170438,0.6481537898808719,95.0,26.026992389649923,38.515951293759514,40.77014307458143,22.73972602739726
