,country,ISO,region,north_south,year,population,GDP,inflation,unemployment,GDP Per Capita
51,Chile,CHL,South/Latin America,Global South,2018,18701450,295402652037.155,2.43488981353058,7.21000003814697,15795.708463095376
52,China,CHN,Asia & Pacific,Global South,2021,1412360000,17734062645371.4,0.981015135544851,5.1100001335144,12556.333120005806
53,China,CHN,Asia & Pacific,Global South,2020,1411100000,14687673892882.0,2.4194218945778,5.6100001335144,10408.66975613493
54,China,CHN,Asia & Pacific,Global South,2019,1407745000,14279937500606.5,2.89923416358227,5.15000009536743,10143.8381955585
55,China,CHN,Asia & Pacific,Global South,2018,1402760000,13894817549374.2,2.07479039965578,4.92999982833862,9905.34200388819
56,"Hong Kong, SAR China",HKG,Asia & Pacific,Global North,2021,7413100,369176400967.427,1.56875834445927,5.17000007629395,49800.54241375767
57,"Hong Kong, SAR China",HKG,Asia & Pacific,Global North,2020,7481000,344932192028.051,0.250962021080809,5.80999994277954,46107.76527577209
58,"Hong Kong, SAR China",HKG,Asia & Pacific,Global North,2019,7507900,363052489184.395,2.8832085377399,2.92000007629395,48356.06350436141
59,"Hong Kong, SAR China",HKG,Asia & Pacific,Global North,2018,7452600,361731070995.726,2.40613432046539,2.80999994277954,48537.56688883423
60,Colombia,COL,South/Latin America,Global South,2021,51516562,314464137241.33,3.49505757399453,13.8999996185303,6104.136709303893
61,Colombia,COL,South/Latin America,Global South,2020,50930662,270299984937.97,2.52663500084712,15.5699996948242,5307.2152279891825
62,Colombia,COL,South/Latin America,Global South,2019,50187406,323109540251.855,3.52301932741443,10.2799997329712,6438.060182904353
63,Colombia,COL,South/Latin America,Global South,2018,49276961,334198218100.719,3.24056932930567,9.35999965667725,6782.037920331958
64,Costa Rica,CRI,South/Latin America,Global South,2021,5153957,64282438666.739,1.72647755109235,15.1400003433228,12472.443729495415
65,Costa Rica,CRI,South/Latin America,Global South,2020,5123105,62158002233.0279,0.724911478131358,16.4300003051758,12132.87688482432
66,Costa Rica,CRI,South/Latin America,Global South,2019,5084532,64417670082.6127,2.09604635327805,10.8100004196167,12669.341068679025
67,Costa Rica,CRI,South/Latin America,Global South,2018,5040734,62420165099.7231,2.22111461526584,9.01000022888184,12383.149973738566
68,Croatia,HRV,Europe,Global North,2021,3899000,68955083280.1922,2.55450699642046,7.6100001335144,17685.325283455295
69,Croatia,HRV,Europe,Global North,2020,4047680,57472012426.6853,0.154811374562028,7.51000022888184,14198.75395947439
70,Croatia,HRV,Europe,Global North,2019,4065253,62327983579.5899,0.771820346498083,6.61999988555908,15331.883053672156
71,Croatia,HRV,Europe,Global North,2018,4087843,62316840749.9705,1.50012501041753,8.43000030517578,15244.431048347624
72,Cyprus,CYP,Europe,Global North,2021,1244188,28407867534.0035,2.44608867175472,7.51000022888184,22832.455813754434
73,Cyprus,CYP,Europe,Global North,2020,1237537,25008448886.3507,-0.638422797978907,7.76000022888184,20208.243378865198
74,Cyprus,CYP,Europe,Global North,2019,1228836,25944504645.6957,0.250370996758456,7.15000009536743,21113.07338464669
75,Cyprus,CYP,Europe,Global North,2018,1218831,25596474964.5725,1.43549119531762,8.5,21000.840120223802
76,Czech Republic,CZE,Europe,Global North,2021,10505772,281777887121.451,3.8398449150015,2.79999995231628,26821.245227999523
77,Czech Republic,CZE,Europe,Global North,2020,10697858,245974558654.043,3.16129528497808,2.54999995231628,22992.879383334777
78,Czech Republic,CZE,Europe,Global North,2019,10671870,252548179964.897,2.84787595918047,2.01999998092651,23664.84786311087
79,Czech Republic,CZE,Europe,Global North,2018,10629928,249000540729.179,2.14949494949492,2.25,23424.480460185525
80,Denmark,DNK,Europe,Global North,2021,5856733,398303272764.46,1.85304543989687,5.05999994277954,68007.7566732955
81,Denmark,DNK,Europe,Global North,2020,5831404,355222449505.211,0.420711974110026,5.6399998664856,60915.424399546144
82,Denmark,DNK,Europe,Global North,2019,5814422,346498737961.635,0.758131572511619,5.01999998092651,59592.98068864541
83,Denmark,DNK,Europe,Global North,2018,5793636,356841216410.068,0.813609467455633,5.13000011444092,61591.92886989586
84,Dominican Republic,DOM,South/Latin America,Global South,2021,11117873,94243453937.4462,8.24300347981817,7.69999980926514,8476.752157309784
85,Dominican Republic,DOM,South/Latin America,Global South,2020,10999664,78844702329.0785,3.78103179915516,6.13000011444092,7167.919159083269
86,Dominican Republic,DOM,South/Latin America,Global South,2019,10881882,88941299733.5018,1.8106037704296,6.17999982833862,8173.33800656006
87,Dominican Republic,DOM,South/Latin America,Global South,2018,10765531,85555378042.8196,3.56443426013507,5.8600001335144,7947.1582073210875
88,Ecuador,ECU,South/Latin America,Global South,2021,17797737,106165866000.0,0.133251386096455,4.5,5965.132870544159
89,Ecuador,ECU,South/Latin America,Global South,2020,17588595,99291124000.0,-0.338872392562274,6.1100001335144,5645.199289653324
90,Ecuador,ECU,South/Latin America,Global South,2019,17343740,108108009000.0,0.266012515466136,3.80999994277954,6233.258166923628
91,Ecuador,ECU,South/Latin America,Global South,2018,17015672,107562008000.0,-0.224103246005465,3.52999997138977,6321.349400717174
92,El Salvador,SLV,South/Latin America,Global South,2021,6314167,28736940000.0,3.46692585313078,4.32999992370605,4551.184661412978
