,country,ISO,region,north_south,year,population,GDP,inflation,unemployment,GDP Per Capita
58,Bahrain,BHR,Arab States,Global South,2019,1494188,38653318085.1064,1.00582004702132,,25869.112912904133
59,Bahrain,BHR,Arab States,Global South,2018,1487340,37802005319.1489,2.08766938046983,,25415.846624947157
60,Bangladesh,BGD,Asia & Pacific,Global South,2021,169356251,416264942893.326,5.54565430773474,,2457.9248798636077
61,Bangladesh,BGD,Asia & Pacific,Global South,2020,167420951,373902134700.41,5.6910747474621,,2233.305523992693
62,Bangladesh,BGD,Asia & Pacific,Global South,2019,165516222,351238474244.667,5.59199639930633,,2122.078851247988
63,Bangladesh,BGD,Asia & Pacific,Global South,2018,163683958,321379023557.462,5.5436213948647,,1963.411854675838
64,Barbados,BRB,South/Latin America,Global South,2021,281200,4843800000.0,,,17225.462304409673
65,Barbados,BRB,South/Latin America,Global South,2020,280693,4671800000.0,,,16643.806578717675
66,Barbados,BRB,South/Latin America,Global South,2019,280180,5324250000.0,4.10028964518463,8.40999984741211,19002.96238132629
67,Barbados,BRB,South/Latin America,Global South,2018,279688,5097283200.0,3.67381410406798,8.31999969482422,18224.89059237436
68,Belarus,BLR,Europe,Global North,2021,9340314,68205380706.6609,9.46028389623105,3.90000009536743,7302.2577941877435
69,Belarus,BLR,Europe,Global North,2020,9379952,61371126414.1663,5.54814357456511,4.05000019073486,6542.797491305531
70,Belarus,BLR,Europe,Global North,2019,9419758,64409647193.8044,5.59815595039851,4.15999984741211,6837.717826063515
71,Belarus,BLR,Europe,Global North,2018,9438785,60031262269.3365,4.87230220550689,4.76000022888184,6360.06247301284
72,Belgium,BEL,Europe,Global North,2021,11592952,594104177539.525,2.44024851144081,6.26000022888184,51247.014353162594
73,Belgium,BEL,Europe,Global North,2020,11538604,525211810652.608,0.740791812220385,5.55000019073486,45517.79493018462
74,Belgium,BEL,Europe,Global North,2019,11488980,535830876745.097,1.43681956996435,5.3600001335144,46638.681305485516
75,Belgium,BEL,Europe,Global North,2018,11427054,543299066998.902,2.05316499865181,5.94999980926514,47544.98114727575
76,Belize,BLZ,South/Latin America,Global South,2021,400031,2491500000.0,3.23563659237067,10.1599998474121,6228.26730928353
77,Belize,BLZ,South/Latin America,Global South,2020,394921,2080000000.0,0.12143464461496,,5266.876160042135
78,Belize,BLZ,South/Latin America,Global South,2019,389095,2416500000.0,0.187069385181357,9.05000019073486,6210.56554311929
79,Belize,BLZ,South/Latin America,Global South,2018,382066,2315000000.0,0.269982622646432,,6059.162553066748
80,Benin,BEN,Africa,Global South,2021,12996895,17144918952.4682,1.73353962694033,,1319.1549945173983
