country,date,Unemployment Rate,Population,Fiscal Balance,GDP per capita,GDP,Inflation,bot,interest,liquidity,debt,CPI,inflation
Argentina,2019,25.81200027,64236209945.642865128417192.936963774752424.902469032569005.404562492178733.021662018582102.984864930707861.026551158103467.713245763519076.547340264524747.349340855223762.105542192526746.9573,-4.395,12716.2242,975569,53.54830435,"13,390.5513,390.5513,390.5513,390.5513,390.5513,390.5513,390.5513,390.5513,390.5513,390.5513,390.5513,390.55",67.2567.2567.2567.2567.2567.2567.2567.2567.2567.2567.2567.25,"42,192.5342,192.5342,192.5342,192.5342,192.5342,192.5342,192.5342,192.5342,192.5342,192.5342,192.5342,192.53",88.8488.8488.8488.8488.8488.8488.8488.8488.8488.8488.8488.84,0,0
Argentina,2020,30.40699959,41831385649.25341766085473.081640534170815.769440251726298.27139141565499.489139706590035.361639586646070.584138933239456.77437628654207.612336134065174.381335113203022.966335649970285.7587,-8.588,11341.26837,0,0,"12,092.4012,092.4012,092.4012,092.4012,092.4012,092.4012,092.4012,092.4012,092.4012,092.4012,092.4012,092.40",29.3929.3929.3929.3929.3929.3929.3929.3929.3929.3929.3929.39,"35,649.9735,649.9735,649.9735,649.9735,649.9735,649.9735,649.9735,649.9735,649.9735,649.9735,649.9735,649.97",102.79102.79102.79102.79102.79102.79102.79102.79102.79102.79102.79102.79,0,0
Argentina,2021,23.37000084,35807833823.219136050927790.830536052662727.8536758879451.538086935973.914738830830351.610838999045952.253642570545952.529639354015096.747939265649957.436738008819233.387836448369071.8398,-4.327,12402.49079,0,0,"15,052.8315,052.8315,052.8315,052.8315,052.8315,052.8315,052.8315,052.8315,052.8315,052.8315,052.8315,052.83",35.5635.5635.5635.5635.5635.5635.5635.5635.5635.5635.5635.56,"36,448.3736,448.3736,448.3736,448.3736,448.3736,448.3736,448.3736,448.3736,448.3736,448.3736,448.3736,448.37",80.9380.9380.9380.9380.9380.9380.9380.9380.9380.9380.9380.93,0,0
Armenia,2017,0,0,0,0,0,0,"-1,243.55",14.41,"2,314.11",53.7,0,124.21
Armenia,2018,80.9430027,...,-5.25478548,12647.69837,120630.5859,2.485933292.485933292.48593329,"-1,752.74",12.79,"2,259.32",51.23,0,127.34
Armenia,2019,49.2179985,..,-1.95460188,9123.935732,86520.39063,1.442785851.44278585,"-1,808.98",12.14,"2,849.65",50.09,0,129.18
Armenia,2020,47.52000046,99.788612365722799.7886123657227,-10.80591134,8512.26258,0,1.226481.22648,"-1,264.11",11.62,"2,615.53",63.48,0,130.74
Armenia,2021,49.50799942,0,-9.1787333,9044.638215,0,7.201805767.20180576,"-1,107.86",11.76,"3,229.85",60.25,0,140.13
Aruba,2017,0,0,0,0,0,0,267.37,6.3,777.46,0,0,101.39
Aruba,2018,0,1.05962E+11,0,63410.55811,6404469274,3.626041413529563.62604141352956,287.4,6,852.08,0,7.252082827,105.06
