Country,Code,Econ growth 2020,Econ growth 2021,Avg Econ Growth
Russia,RUS,-2.66,4.75,1.045
Rwanda,RWA,-3.36,10.88,3.76
Saint Lucia,LCA,-24.36,12.23,-6.065
Saint Vincent and the Grenadines,VCT,-5.31,1.35,-1.98
Samoa,WSM,-3.11,-7.08,-5.095
Sao Tome and Principe,STP,3.02,1.88,2.45
Saudi Arabia,SAU,-4.14,3.24,-0.45
Senegal,SEN,1.33,6.06,3.695
Serbia,SRB,-0.9,7.55,3.325
Seychelles,SYC,-7.69,7.86,0.085
Sierra Leone,SLE,-1.97,4.1,1.065
Singapore,SGP,-4.14,7.61,1.735
Slovakia,SVK,-3.37,3.01,-0.18
Slovenia,SVN,-4.32,8.21,1.945
Solomon Islands,SLB,-3.38,-0.2,-1.79
Somalia,SOM,2.49,4.05,3.27
South Africa,ZAF,-6.34,4.91,-0.715
South Korea,KOR,-0.71,4.15,1.72
Spain,ESP,-11.33,5.52,-2.905
Sri Lanka,LKA,-3.47,3.33,-0.07
Sudan,SDN,-3.63,-1.87,-2.75
Suriname,SUR,-15.98,-2.73,-9.355
Swaziland,SWZ,-1.56,7.88,3.16
Sweden,SWE,-2.17,5.08,1.455
Switzerland,CHE,-2.38,4.22,0.92
Tajikistan,TJK,4.4,9.2,6.8
Tanzania,TZA,2,4.28,3.14
Thailand,THA,-6.2,1.53,-2.335
Togo,TGO,1.75,5.26,3.505
Tonga,TON,0.49,-2.67,-1.09
Trinidad and Tobago,TTO,-7.68,-1.03,-4.355
Tunisia,TUN,-8.62,4.32,-2.15
Turkey,TUR,1.94,11.35,6.645
Tuvalu,TUV,1.52,2.99,2.255
Uganda,UGA,2.95,3.54,3.245
Ukraine,UKR,-3.75,3.4,-0.175
United Arab Emirates,ARE,-4.96,3.92,-0.52
United Kingdom,GBR,-11.03,7.52,-1.755
Uruguay,URY,-6.12,4.37,-0.875
USA,USA,-2.77,5.95,1.59
Uzbekistan,UZB,1.89,7.42,4.655
Vanuatu,VUT,-5.4,0.45,-2.475
Vietnam,VNM,2.87,2.56,2.715
Zambia,ZMB,-2.79,4.6,0.905
Zimbabwe,ZWE,-7.82,8.47,0.325
