,,,,,,,,
,Exchange Rates selected indicators,,,,,,,
,"National Currency per U.S. Dollar, end of period",,,,,,,
,,,,,,,,
,Source: International Financial Statistics (IFS),,,,,,,
,,,,,,,,
,Iceland,Units,,104.42,116.33,121.10,127.21,130.38
,India,Units,,63.93,69.79,71.27,73.05,74.30
,Indonesia,Units,,"13,548.00","14,481.00","13,901.01","14,105.01","14,269.01"
,"Iran, Islamic Rep. of",Units,,"36,074.00","42,000.00","42,000.00","42,000.00","42,000.00"
,Iraq,Units,,"1,184.00","1,182.00","1,182.00","1,450.00","1,450.00"
,Isle of Man,Units,,0.74,0.79,0.76,0.75,0.74
,Israel,Units,,3.47,3.75,3.46,3.22,3.11
,Jamaica,Units,,124.30,126.80,131.18,141.71,153.92
,Japan,Units,,112.90,110.83,109.12,103.63,114.21
,Jersey,Units,,0.74,0.79,0.76,0.75,0.74
,Jordan,Units,,0.71,0.71,0.71,0.71,0.71
,"Kazakhstan, Rep. of",Units,,332.33,384.20,382.59,420.91,431.80
,Kenya,Units,,103.23,101.85,101.34,109.17,113.14
,Kiribati,Units,,1.28,1.42,1.43,1.30,1.38
,"Korea, Rep. of",Units,,"1,071.40","1,118.10","1,157.80","1,088.00","1,186.60"
,"Kosovo, Rep. of",Units,,0.83,0.87,0.89,0.81,0.88
,Kuwait,Units,,0.30,0.30,0.30,0.30,0.30
,Kyrgyz Rep.,Units,,68.84,69.85,69.64,82.65,84.76
,Lao People's Dem. Rep.,Units,,"8,293.00","8,530.00","8,861.00","9,274.00","11,041.00"
,Lebanon,Units,,"1,507.50","1,507.50","1,507.50","1,507.50","1,507.50"
,"Lesotho, Kingdom of",Units,,12.32,14.38,14.03,14.69,15.91
,Liberia,Units,,125.45,157.56,187.93,164.22,...
,Libya,Units,,1.36,1.39,1.40,1.34,4.60
,"Madagascar, Rep. of",Units,,"3,230.19","3,470.24","3,627.27","3,824.84","3,956.66"
,Malawi,Units,,732.03,733.69,738.87,773.11,...
,Malaysia,Units,,4.06,4.14,4.09,4.01,4.18
,Maldives,Units,,15.41,15.41,15.38,15.41,15.39
,Mali,Units,,546.95,572.89,583.90,534.56,579.16
,"Mauritania, Islamic Rep. of",Units,,35.35,36.35,37.32,36.67,36.22
,Mauritius,Units,,33.48,34.25,36.60,39.53,43.53
,Mexico,Units,,19.79,19.68,18.85,19.95,20.58
,"Micronesia, Federated States of",Units,,1.00,1.00,1.00,1.00,1.00
,"Moldova, Rep. of",Units,,17.10,17.14,17.21,17.21,17.75
,Mongolia,Units,,"2,427.13","2,643.69","2,734.33","2,849.89","2,849.34"
,Montenegro,Units,,0.83,0.87,0.89,0.81,0.88
