country,date,Fiscal Balance,GDP per capita,GDP,Unemployment Rate,Inflation,Population,CPI
Aruba,2018-01-01,,31705.2790531117,3202234636.87151,,3.62604141352956,105962,3.62604141352956
Aruba,2019-01-01,,31762.7340256358,3368970253.05286,,4.25746204335428,106442,4.25746204335428
Afghanistan,2018-01-01,1.63419574,502.056770622973,18418848299.5825,17.4659996032715,0.62614913,.,
Afghanistan,2019-01-01,-1.05808112,500.522664145294,18904490262.913,17.6110000610352,2.30237253,.,
Afghanistan,2020-01-01,-2.24279939,516.866552182696,20143442150.971,16.117000579834,5.60700524,.,
Afghanistan,2021-01-01,.,368.754614175459,14786861638.4535,20.2259998321533,.,37.266040802002,
Angola,2018-01-01,,2677.17781589774,2677.17781589774,16.3430004119873,19.6305943641961,.,
Angola,2019-01-01,,2569.69134652945,2569.69134652945,16.2830009460449,17.0797044074954,.,
Angola,2020-01-01,,2347.78703247628,2347.78703247628,17.9669990539551,22.2715643068877,.,
Angola,2021-01-01,,2299.6405718262,2299.6405718262,17.5230007171631,25.7542656453085,72.2799987792969,
Albania,2018-01-01,,5287.66369446913,406047.0,28.3050003051758,2.02805963071136,79.184,
Albania,2019-01-01,,5396.21586434732,414791.6,27.1609992980957,1.41109078954248,79.282,
Albania,2020-01-01,,5332.16047456847,410455.8,30.8460006713867,1.62088661717004,76.989,
Albania,2021-01-01,,6492.87201224634,445982.8,29.5049991607666,2.04147163139546,,
United Arab Emirates,2018-01-01,-24.42813721,43644.1470438183,70.24497182,6.66200017929077,3.06875526,.,
United Arab Emirates,2019-01-01,-20.42321447,43785.4172694435,81.48199235,7.40500020980835,-1.93143988,95.526481628418,
United Arab Emirates,2020-01-01,-21.17155078,41276.0555102387,106.82444671,14.1190004348755,-2.07880975,.,
United Arab Emirates,2021-01-01,-23.79571824,42535.9660450383,95.50850817,10.4930000305176,0.17957947,98.1263580322266,
Argentina,2018-01-01,-5.441,13105.397163317,997136.625,23.8299999237061,34.2772237131008,59727847975.8229,
Argentina,2019-01-01,-4.395,12716.2242038544,975569.0,25.8120002746582,53.5483043492342,64236209945.6428,
Armenia,2018-01-01,-1.75159516,4215.89945615491,40210.1953125,26.9810009002686,2.48593329,.,
Armenia,2019-01-01,-0.97730094,4561.96786576599,43260.1953125,24.6089992523193,1.44278585,.,
Armenia,2020-01-01,-5.40295567,4256.13129015707,,23.7600002288818,1.22648,99.7886123657227,
Armenia,2021-01-01,-4.58936665,4522.31910742549,,24.753999710083,7.20180576,,
Antigua and Barbuda,2018-01-01,,17527.1696291931,1605944444.44444,,1.20715793367003,,
Antigua and Barbuda,2019-01-01,,18319.4560540762,1687533333.33333,,1.43135598182989,,
Antigua and Barbuda,2020-01-01,,14787.6357752901,1370281481.48148,,0.625989707046698,,
Antigua and Barbuda,2021-01-01,,15781.3957017982,1471125925.92593,,2.06299638545331,,
Australia,2018-01-01,-1.260,58481.0344237649,486951.0,5.5141625,1.91140094445692,24966643,104.573949384723
Australia,2019-01-01,-4.403,58870.0216937531,496140.0,5.0584297,1.61076787290379,25340217,105.967030415602
Australia,2020-01-01,-8.758,58117.4520268812,504144.0,5.2746139,0.846905537459293,25655289,108.288832133736
Australia,2021-01-01,-6.454,59341.2377401658,511583.0,6.3422501,2.86391042204995,25688079,109.496169027165
Austria,2018-01-01,,46154.6250956541,82842.5,7.89999855389028,1.8,8840521.0,103.591367386051
Austria,2019-01-01,,46647.0809634335,84829.6,7.47700656451613,1.8,8879920.0,105.491209065911
Austria,2020-01-01,,43455.7000665738,82395.0,6.92586399928317,2.0,8916864.0,107.591034080493
Austria,2021-01-01,,45238.3907144733,78837.6,9.26020796173901,0.8,8955797,108.456087620839
Azerbaijan,2018-01-01,5.53361486,5262.18380792188,47.10656017,12.7170000076294,2.33422527,9939771,
Azerbaijan,2019-01-01,9.10873103,5348.26526707105,47.19558588,12.4060001373291,2.71230057,10024283.0,
Azerbaijan,2020-01-01,-6.52257986,5083.3816401988,55.66324885,17.4039993286133,2.8242865,10093121,
Azerbaijan,2021-01-01,4.33363671,5344.42134817085,43.7297925,14.2799997329712,6.65936961,10137750,
Burundi,2018-01-01,,-1.34959593117703,-1.34959593117703,1.68799996376038,-2.8146980766847,11493472,-2.8146980766847
Burundi,2019-01-01,,-1.12381564727229,-1.12381564727229,1.35399997234344,-0.686772170797229,11874838,-0.686772170797229
Burundi,2020-01-01,,-2.58728667995342,-2.58728667995342,1.72300004959106,7.32110643415513,12220227,7.32110643415513
Burundi,2021-01-01,,0.115827520453699,0.115827520453699,1.65799999237061,8.4045384507634,12551213,8.4045384507634
Belgium,2018-01-01,,42382.3182763247,100660.3,6.27482178479185,1.71018563241381,11427054,105.111369886772
Belgium,2019-01-01,,43098.4847198889,102766.9,5.71601501306882,1.98255202813632,11488980,107.20249746042
Belgium,2020-01-01,,40612.3924560653,101700.6,5.30195503181299,1.41349437615176,11538604,108.708902158024
Belgium,2021-01-01,,42901.4320595797,101515.6,6.85194204213903,0.252942323092388,11592952,108.986397760214
Benin,2018-01-01,,1194.43821427144,1.394587,3.86700010299683,0.644803622440778,5.199,89.8363128073025
Benin,2019-01-01,,1170.96553298099,1.507767,3.89000010490417,-0.70502663454275,5.13,87.0908933529088
Benin,2020-01-01,,1237.94929535039,1.317066,4.46999979019165,3.02272119663756,5.048,90.3430632417186
Benin,2021-01-01,,1319.1549945174,,4.32499980926514,1.73353962694033,,89.5924215559712
Burkina Faso,2018-01-01,,3.71472140884824,3.71472140884824,7.7810001373291,1.95594302672532,39.3458518981934,1.95594302672532
