"Prices, Production, and Labor selected indicators",,,,,
Consumer Prices,,,,,
,,,,,
Source: International Financial Statistics (IFS),,,,,
,,,,,
Country,2017,2018,2019,2020,2021
Montserrat,108.9,110.33,109.15,107.08,108.87
Morocco,108.77,110.73,111.07,111.85,113.42
"Mozambique, Rep. of",170.7,177.38,182.31,188.04,198.74
Myanmar,144.61,154.54,168.18,...,...
Namibia,146.03,152.3,157.97,161.46,167.3
Nepal,171.8,178.77,188.73,198.27,206.37
"Netherlands, The",111.04,112.93,115.91,117.38,120.52
New Zealand,110.65,112.42,114.24,116.2,120.78
Nicaragua,147.16,154.44,162.74,168.73,177.05
Niger,108.88,112.12,109.32,112.49,116.81
Nigeria,214.23,240.14,267.51,302.94,354.3
"North Macedonia, Republic of",110.92,112.53,113.4,114.76,118.46
Norway,114.55,117.72,120.27,121.82,126.06
Oman,112.39,113.38,113.53,112.5,114.24
Pakistan,156.91,164.88,182.32,200.08,219.08
"Palau, Rep. of",118.33,120.83,121.15,121.41,124.58
Panama,121.58,122.5,122.07,120.18,122.13
Papua New Guinea,143.73,150.02,155.91,163.51,170.84
Paraguay,134.61,139.96,143.82,146.36,153.37
Peru,125.53,127.42,130.29,132.9,138.58
Philippines,120.21,126.59,129.62,132.72,137.94
"Poland, Rep. of",109.64,111.63,114.11,117.96,123.93
Portugal,109.17,110.25,110.62,110.61,112.01
Qatar,115.86,116.16,115.38,112.45,115.04
Romania,113.95,119.22,123.78,127.04,133.46
Russian Federation,168.18,173.02,180.75,186.86,199.37
Rwanda,146.63,146.17,151.07,165.95,165.3
Samoa,111.72,116.41,117.56,115.71,119.34
"San Marino, Rep. of",110.63,...,...,...,...
"São Tomé and Príncipe, Dem. Rep. of",171.61,185.09,...,...,...
Saudi Arabia,118.03,120.93,118.4,122.48,126.23
Senegal,106.87,107.36,109.25,112.03,...
"Serbia, Rep. of",138.67,141.38,144,146.27,152.24
Seychelles,123.09,127.65,130.3,141.09,...
Sierra Leone,175.79,203.96,234.16,265.65,297.19
Singapore,113.27,113.76,114.41,114.2,116.83
"Sint Maarten, Kingdom of the Netherlands",116.64,...,...,...,...
Slovak Rep.,109.59,112.35,115.34,117.57,121.28
"Slovenia, Rep. of",107.4,109.27,111.05,110.99,113.12
Solomon Islands,126.54,130.92,133.06,137.01,136.85
South Africa,146.05,152.65,158.94,164.04,171.6
"South Sudan, Rep. of","4,583.71","8,411.17","15,749.19","20,422.89","22,570.71"
Spain,108.38,110.19,110.96,110.6,114.02
Sri Lanka,147.09,150.23,155.53,165.1,176.68
St. Kitts and Nevis,105.66,104.57,104.22,103,104.24
St. Lucia,108.03,110.13,110.72,108.78,111.4
St. Vincent and the Grenadines,107.17,109.67,110.67,109.97,111.7
Sudan,545.17,890.23,"1,344.19","3,364.82","16,245.89"
Suriname,263.97,...,294.68,397.5,632.49
Sweden,106.49,108.57,110.51,111.06,113.46
Switzerland,98.27,99.19,99.55,98.82,99.4
"Tanzania, United Rep. of",175.04,181.15,187.43,193.6,200.74
Thailand,111.29,112.47,113.27,112.31,113.69
"Timor-Leste, Dem. Rep. of",141.58,144.83,146.22,...,...
Togo,111.5,112.54,113.31,115.38,...
Tonga,121.18,127.28,128.78,128.33,135.57
Trinidad and Tobago,140.32,141.75,143.17,144.03,147
Tunisia,135.63,145.54,155.33,164.08,173.44
"Türkiye, Rep of",174.97,203.55,234.44,263.22,314.81
Uganda,166.78,171.14,176.05,181.88,185.89
Ukraine,235.3,261.07,281.66,289.35,316.45
United Arab Emirates,113.3,116.78,114.52,112.14,112.13
United Kingdom,114.94,117.58,119.62,120.81,123.85
United States,112.41,115.16,117.24,118.69,124.27
Uruguay,174.8,188.1,202.92,222.72,239.98
"Uzbekistan, Rep. of",210.82,247.77,283.76,320.27,355.02
Vanuatu,111.38,113.98,117.13,123.37,126.26
Vietnam,153.63,159.07,163.52,168.78,171.88
West Bank and Gaza,110.98,110.77,112.52,111.69,113.07
Zambia,180.95,194.51,212.31,245.71,299.82
Zimbabwe,105.51,116.71,414.68,"2,725.31","5,411.00"
